CPF,Nome,Idade,UF,Regiao,Setor,Renda_Declarada,Renda_Presumida,Patrimonio,Alteracoes_Declaracao,Media_Depositos,Transacoes_Especie,Gastos_Cartao,Investimentos_Nao_Declarados,Pagamentos_PIX_TED,Media_Renda_Setor,Alerta_Gastos,Alerta_Patrimonio,Autuacoes_Anteriores,Proporcao_Renda_Patrimonio,Nivel_Complexidade,renda_nao_declarada,sonegador,Score_Risco,Relacoes_Suspeitas
49797155690,Angelique Blackmore,44,BA,Nordeste,Serviços,74807.01,103981.74,418171.19,1,9305.7,907.53,2652.9,14090.2,99689.01,120094.74922628618,FALSE,FALSE,0,0.1789,1,-0,não,0.21,1
31587928396,Jordan Glenn,59,RJ,Sudeste,Construção Civil,109459.79,120405.77,818759.23,1,9063.37,130,4365.86,14885.72,100877.53,99772.2331975,FALSE,FALSE,0,0.1337,1,-0,não,0.13,0
33372004992,Jada Parson,72,RS,Sul,Construção Civil,95208.96,118059.11,541738.98,1,8621,508.02,2639.99,4029.12,132627.46,99772.2331975,FALSE,FALSE,0,0.1757,1,-0,não,0.17,0
41252696966,Michael Shivers,49,MG,Sudeste,Comércio,108625.19,142299,861397.76,1,10410.86,299.04,2451.45,9785.33,115790.33,149730.06027473844,FALSE,FALSE,0,0.1261,1,-0,não,0.18,0
43802969963,Wina Sadorra,50,MG,Sudeste,Comércio,148495.47,175224.65,764751.67,0,13983.37,1358.42,4109.93,3241.01,144786.39,149730.06027473844,FALSE,FALSE,0,0.1942,1,-0,não,0.16,0
18000856021,Junbian Isobe,43,RJ,Sudeste,Serviços,97234,119597.82,514367.86,0,9214.02,315.06,117.74,10546.16,69756.69,120094.74922628618,FALSE,FALSE,0,0.189,1,-0,não,0.17,1
41325763127,Jeremy Jefferson,51,SC,Sul,Financeiro,350098.19,486636.48,658184.6,0,43455.99,1239.08,8325.23,8255.14,539351.19,295744.6433800561,FALSE,FALSE,0,0.5319,1,-0,não,0.21,1
31583713447,Jordan Charry,38,DF,Centro-Oeste,Indústria,226877.78,344854.23,27225.33,1,30452.38,10681.62,10448.88,22651.26,200975.78,199329.2776114992,TRUE,FALSE,0,8.3333,1,4537.559999999998,sim,0.34,2
18004483969,Briahna Bruce,50,DF,Centro-Oeste,Serviços,62201.66,86460.31,174164.65,3,6566.3,21.39,2081.13,11679.15,65747.31,120094.74922628618,FALSE,FALSE,0,0.3571,1,-0,não,0.2,0
41406994275,Anwar Harris,49,MG,Sudeste,Transporte,98531.29,135973.18,607938.06,0,13818.92,109.38,1692.75,8953.72,111493.42,100658.27340820312,FALSE,FALSE,2,0.1621,1,-0,não,0.36,0
60115766679,Kevin Sulehria,51,SP,Sudeste,Comércio,98851.6,124553.02,681087.52,1,10778.59,1192.74,2919.05,7880.76,122440.6,149730.06027473844,FALSE,FALSE,0,0.1451,2,-0,não,0.18,0
42788777879,Hop Zhang,50,RS,Sul,Financeiro,511212.36,756594.29,2065297.93,1,72841.8,3075.3,35563.88,10218.84,612659.4,295744.6433800561,TRUE,FALSE,0,0.2475,2,-0,não,0.25,0
44946391271,Cesar Maldonado,50,DF,Centro-Oeste,Serviços,177567.61,289435.2,1184375.96,5,24152.9,9208.52,9264.37,91111.72,224039.02,120094.74922628618,TRUE,FALSE,0,0.1499,2,23083.785000000033,sim,0.35,0
53433375916,Jaylen Bryant,39,PE,Nordeste,Serviços,27587.48,36691.35,145110.14,1,3204.99,369.01,1176.8,8732.86,22507.02,120094.74922628618,TRUE,FALSE,0,0.1901,1,-0,não,0.19,0
63044265468,Maajid al-Amiri,54,SP,Sudeste,Comércio,37030.63,43696.14,225886.84,1,3248.78,772.79,1593.2,6724.91,45048.15,149730.06027473844,TRUE,FALSE,0,0.1639,1,-0,não,0.16,0
51445952277,Kayvonne Eaglin,44,RJ,Sudeste,Comércio,136278.68,158083.27,346147.85,1,14162.57,809.07,4081.7,6841.69,130864.61,149730.06027473844,FALSE,FALSE,0,0.3937,1,-0,não,0.15,1
30541098445,Felicia Romero,57,PE,Nordeste,Indústria,243763.85,316893,1079873.86,0,25975.54,3877.53,9094.95,12160.16,277570.73,199329.2776114992,FALSE,FALSE,0,0.2257,3,-0,não,0.22,0
46951498121,Shaheera al-Hashemi,33,GO,Centro-Oeste,Educação,125786.42,182390.31,510692.87,0,13944.56,82.34,5724.1,8428.52,138627.04,99922.08285578748,TRUE,FALSE,0,0.2463,1,-0,não,0.21,1
18009098622,Lynnji Snow,43,MG,Sudeste,Serviços,101279.12,141790.77,304850.15,2,11565.6,209.3,1770.56,18461.57,125142.89,120094.74922628618,FALSE,FALSE,1,0.3322,2,-0,não,0.28,0
31582289581,Nadheera el-Mohamed,53,GO,Centro-Oeste,Serviços,133465.95,136135.27,608604.73,1,11455.77,620.37,3990.71,3767.63,36488.23,120094.74922628618,FALSE,FALSE,0,0.2193,2,-0,não,0.12,0
52767260690,Richard Farley,30,MG,Sudeste,Educação,130701.29,215657.13,699251.9,2,21444.69,13175.6,7917.62,52503.15,130672.16,99922.08285578748,TRUE,FALSE,1,0.1869,3,19605.195000000007,sim,0.47,1
50188111948,Makenzie Ney,57,SP,Sudeste,Comércio,181268.65,253776.11,1118427.57,1,19257.28,297.13,7089.99,9308.88,269404.34,149730.06027473844,FALSE,FALSE,1,0.1621,3,-0,não,0.28,1
30887053488,Kevin Kang,70,GO,Centro-Oeste,Comércio,210593.49,246394.38,1213018.5,2,22241.85,1408.32,7087.8,10294.1,260108.93,149730.06027473844,FALSE,FALSE,0,0.1736,3,-0,não,0.16,0
48246227425,Hamna el-Imam,45,RJ,Sudeste,Construção Civil,147254.74,161980.21,649393.4,1,10787.56,89.12,4789.27,12157.12,173521.4,99772.2331975,FALSE,FALSE,0,0.2268,1,-0,não,0.13,1
86993984462,Talon Edmondson,42,RJ,Sudeste,Indústria,343303.28,377633.61,696905.66,1,35625.18,534.04,9577.89,24162.99,332962.84,199329.2776114992,FALSE,FALSE,0,0.4926,1,-0,não,0.14,0
67616575012,Derek Coker,35,RJ,Sudeste,Agropecuária,143401.17,157741.29,378579.09,3,11244.67,871.71,3923.31,13757.78,92763.13,100261.125625,FALSE,FALSE,0,0.3788,1,-0,não,0.14,1
47660789993,Maureesha Simmons,24,SP,Sudeste,Indústria,173893.45,210411.07,1140741.03,2,19805.46,572.79,3079.07,9325.57,116850.97,199329.2776114992,FALSE,FALSE,0,0.1524,2,-0,não,0.16,1
60114820640,Shadhaa el-Farman,32,DF,Centro-Oeste,Financeiro,272196.45,460012,1105117.59,5,37326.65,4778.98,10635.37,52570.78,258905.61,295744.6433800561,FALSE,FALSE,0,0.2463,3,51717.32499999995,sim,0.32,1
67591990568,Orion Cotter,41,PR,Sul,Indústria,281518.36,472950.84,909304.3,2,35671.1,15848.57,3504.49,74747.25,344598.23,199329.2776114992,FALSE,FALSE,0,0.3096,2,50673.30000000005,sim,0.43,1
21003601735,Jacob Pham,67,PR,Sul,Comércio,166926.37,223681.34,724460.45,1,17754.82,1100.64,4592.72,21308.11,135276.12,149730.06027473844,FALSE,FALSE,1,0.2304,2,-0,não,0.28,0
30882746881,Pa Nhia Golbaz,45,RS,Sul,Serviços,202472.91,285486.8,471761.88,2,28081.73,490.6,2588.4,7369.64,222872.83,120094.74922628618,FALSE,FALSE,0,0.4292,1,-0,não,0.21,0
35281113167,Eduardo Romero,49,RJ,Sudeste,Comércio,203769.51,328068.91,1079978.4,4,26983.1,17769.85,8778.38,37225.34,272202.29,149730.06027473844,TRUE,FALSE,0,0.1887,3,22414.64499999996,sim,0.43,0
44521630412,Sara Graham,45,PR,Sul,Serviços,140518.81,231856.04,306331.01,2,20875.46,4445.99,2723.44,50786.08,165450.12,120094.74922628618,FALSE,FALSE,0,0.4587,3,21077.82500000001,sim,0.3,0
45413068660,Barrington Chapman,44,PE,Nordeste,Indústria,106008.94,121910.28,489761.3,1,10187.01,1850.3,4772.75,16233.53,28758.33,199329.2776114992,TRUE,FALSE,0,0.2165,1,-0,não,0.16,0
34302412034,Sakeen al-Shehadeh,43,BA,Nordeste,Agropecuária,90181.68,129861.62,327359.5,1,9818.98,2495.1,2058.07,7303.46,86803.52,100261.125625,FALSE,FALSE,0,0.2755,1,-0,não,0.24,0
49022969087,Mackenzie Makaiwi,43,RJ,Sudeste,Serviços,116018.07,176347.47,719312.03,2,15828.08,1871.53,4378.3,48199.05,169269.57,120094.74922628618,FALSE,FALSE,1,0.1613,1,2320.3649999999907,sim,0.33,1
